"Opened Date","File Number","Sales Rep","Client Name","Product Type","Prod Type","Primary Property Address","File Status ","Closed Date","Sent To External Accounting","Loan Amount","Sales Price"
"Jul 30, 2021","10030502-2","In House - SoCal Orange","Wells Fargo Business Banking/Commercial Lending","Loan: Title Only (Outside Escrow)","Loan","6600-6612 Koll Center Parkway, Pleasanton, CA  94566","Closed","Jul 30, 2021","","1000000.00","0.00"
"Jul 30, 2021","10030502-2","In House - SoCal Orange","Wells Fargo Business Banking/Commercial Lending","Loan: Title Only (Outside Escrow)","Loan","6600-6612 Koll Center Parkway, Pleasanton, CA  94566","Closed","Jul 30, 2021","","1500000.00","0.00"
"Mar 3, 2021","10182865","Cibeli Tregembo","FC Consultants","Loan: Title and Escrow (N)","Loan","342 Solares Street, Camarillo, CA  93010","Closed","Apr 16, 2021","Mar 23, 2021","523000.00","0.00"
"Feb 9, 2021","10190393","Tom Lowther","Vantage Point","Loan: Title Only (Outside Escrow) (N)","Loan","1838 Orizaba Avenue, Redondo Beach, CA  90277","Closed","Sep 30, 2021","","251500.00","0.00"
"Jan 11, 2021","10197533","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1014 Jadestone Lane, Corona, CA  92882","Closed","Jan 23, 2021","","167000.00","0.00"
"Jan 28, 2021","10198995","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","2160 East Century Park, Unit 507, Los Angeles, CA  90067","Closed","May 20, 2021","","618750.00","0.00"
"Feb 9, 2021","10199226","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3504 Cazador Street, Los Angeles, CA  90065","Closed","Feb 16, 2021","","390000.00","0.00"
"Jan 27, 2021","10199432","Scott & Angeline","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","24406 Senna Drive, Wildomar, CA  92595","Closed","Jan 29, 2021","","346000.00","0.00"
"Jan 28, 2021","10199817","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","3405 Ferndale Avenue, San Bernardino, CA  92404","Closed","Feb 5, 2021","Jan 29, 2021","339000.00","0.00"
"Jan 20, 2021","10199825","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","2419 Caswell Avenue, Ceres, CA  95307","Closed","Jan 26, 2021","","170250.00","0.00"
"Jan 28, 2021","10199900","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","29862 Holsteiner, Menifee, CA  92584","Closed","Feb 3, 2021","Jan 29, 2021","444150.00","0.00"
"Jan 26, 2021","10199903","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","29248 Fox Run Lane, Valley Center, CA  92082","Closed","Feb 6, 2021","","421500.00","0.00"
"Jan 21, 2021","10200647","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","26353 Driftwood Lane, Helendale, CA  92342","Closed","Jan 26, 2021","","255000.00","0.00"
"Jan 11, 2021","10200722","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3733 Lime Avenue, Long Beach, CA  90807","Closed","Jan 21, 2021","Jan 14, 2021","234500.00","0.00"
"Feb 3, 2021","10200868","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","11362 Washington Place, Los Angeles, CA  90066","Closed","Feb 11, 2021","","382000.00","0.00"
"Jan 7, 2021","10201038","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","829 East 4th Street, Pomona, CA  91766","Closed","Feb 9, 2021","Feb 2, 2021","236000.00","0.00"
"Jan 29, 2021","10201074","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","29118 Eveningside Drive, Castaic, CA  91384","Closed","Feb 9, 2021","","249000.00","0.00"
"Jan 29, 2021","10201074","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","29118 Eveningside Drive, Castaic, CA  91384","Closed","Feb 9, 2021","Feb 2, 2021","249000.00","0.00"
"Feb 10, 2021","10201297","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3317 Oselot Way, Rancho Cordova, CA  95670","Closed","Feb 16, 2021","Feb 11, 2021","333000.00","0.00"
"Jan 21, 2021","10201491","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3923 Arco Del Paso Lane, Sacramento, CA  95834","Closed","Jan 27, 2021","Jan 22, 2021","255500.00","0.00"
"Mar 19, 2021","10201633","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","15000 Downey Avenue, Unit 340, Paramount, CA  90723","Closed","Apr 16, 2021","","182300.00","0.00"
"Jan 14, 2021","10201693","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","26162 Roscommon Court, Lake Forest, CA  92630","Closed","Jan 20, 2021","","445000.00","0.00"
"Jan 14, 2021","10201757","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","17544 China Gulch Drive, Anderson, CA  96007","Closed","Jan 21, 2021","","210000.00","0.00"
"Jan 14, 2021","10201757","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","17544 China Gulch Drive, Anderson, CA  96007","Closed","Jan 21, 2021","Jan 15, 2021","210000.00","0.00"
"Jan 13, 2021","10202014","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title and Escrow (N)","Loan","27190 Dix Hill Road, Sun City, CA  92585","Closed","Apr 6, 2021","Mar 10, 2021","263850.00","0.00"
"Jan 7, 2021","10202277","Nicholas J Watt","Wells Fargo Bank, N.A. ISAOA","Loan:  Title and Escrow","Loan","104 Mountain Sky, Irvine, CA  92602","Closed","May 17, 2021","Jan 19, 2021","2239695.00","0.00"
"Jan 5, 2021","10202432","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","1211 South Pleasant Avenue, Lodi, CA  95240","Policy Issued","","Feb 4, 2021","222000.00","0.00"
"Jan 21, 2021","10202450","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","2221 21st Street, Sacramento, CA  95818","Closed","Feb 16, 2021","","508000.00","0.00"
"Jan 21, 2021","10202450","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","2221 21st Street, Sacramento, CA  95818","Closed","Feb 16, 2021","Feb 11, 2021","508000.00","0.00"
"Jan 7, 2021","10202534","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","12265 Puma Court, Moreno Valley, CA  92555","Closed","Jan 27, 2021","Jan 22, 2021","217800.00","0.00"
"Feb 9, 2021","10203611","Justin Nouri","Athas Capital Group","Loan: Title Only (Outside Escrow)","Loan","7452 Marshall Court, Highland, CA  92346","Closed","Feb 26, 2021","Feb 12, 2021","298375.00","0.00"
"Jan 12, 2021","10204150","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","1829 South Mesa Street, (San Pedro Area), Los Angeles, CA  90731","Closed","Jan 21, 2021","Jan 13, 2021","585000.00","0.00"
